day_number,hour_number,avg_speed
18,0,28.224907063197026
18,1,9.714285714285714
18,2,0
18,3,0
18,4,26.99475065616798
18,5,26.395429362880886
18,6,25.665171060011218
18,7,24.901758014477767
18,8,24.431382703262557
18,9,24.574425574425575
18,10,23.55133079847909
18,11,23.21927374301676
18,12,23.303755868544602
18,13,22.894736842105264
18,14,22.80030333670374
18,15,22.538497217068645
18,16,22.50698689956332
18,17,21.87605884975479
18,18,22.221140472879
18,19,22.45367717287488
18,20,23.521934197407777
18,21,24.766811279826463
18,22,25.36053240740741
18,23,26.49145299145299
19,0,30.415162454873645
19,1,31.571428571428573
19,2,0
19,3,0
19,4,0
19,5,0
19,6,22.148867313915858
19,7,21.338257016248154
19,8,21.644347826086957
19,9,22.0609587143253
19,10,21.607407407407408
19,11,21.183233532934132
19,12,21.510888252148998
19,13,20.99078564500485
19,14,20.70245937637242
19,15,20.119695756605285
19,16,19.29637133910481
19,17,20.064462195801596
19,18,20.855416666666667
19,19,22.478800413650465
19,20,23.17290049400141
19,21,23.21180712032447
19,22,24.99363425925926
19,23,25.6984375
20,0,29.478339350180505
20,1,32.5
20,2,0
20,3,0
20,4,25.885135135135137
20,5,24.242467718794835
20,6,22.23884349465745
20,7,20.213997544290475
20,8,21.26715924557651
20,9,21.68354430379747
20,10,21.276545400769002
20,11,20.61184792219275
20,12,20.39120939120939
20,13,20.63771593090211
20,14,20.727447216890596
20,15,19.783059467918623
20,16,18.895688710266715
20,17,19.753837617902718
20,18,21.356534695615156
20,19,22.037867078825347
20,20,22.502512562814072
20,21,23.99820062977958
20,22,24.84989200863931
20,23,25.48350824587706
21,0,28.311030741410487
21,1,21.571428571428573
21,2,0
21,3,41
21,4,25.641337386018236
21,5,24.086659064994297
21,6,22.300266311584554
21,7,20.685239852398524
21,8,20.930267379679144
21,9,21.601342281879194
21,10,21.124777183600713
21,11,20.722272047832586
21,12,20.353807670928294
21,13,20.410056657223794
21,14,19.86034255599473
21,15,19.486826104580462
21,16,18.533751663814414
21,17,20.250874465604355
21,18,21.081573683040677
21,19,22.287327123906294
21,20,23.21720174395561
21,21,24.063707571801565
21,22,25.52980946527351
21,23,26.097913322632422
22,0,28.00408163265306
22,1,10.666666666666666
22,2,0
22,3,9
22,4,24.64516129032258
22,5,24.516893203883495
22,6,23.052906596995427
22,7,21.817181014257354
22,8,22.214864023250986
22,9,21.41650671785029
22,10,20.755477651183174
22,11,20.37457142857143
22,12,19.44997367035282
22,13,19.67531556802244
22,14,19.969381506429883
22,15,19.415803371927687
22,16,19.158390721275826
22,17,20.376245066716784
22,18,20.867174280879865
22,19,22.144335099671967
22,20,23.449576868829336
22,21,24.27899394503959
22,22,25.255307262569833
22,23,25.24043321299639
23,0,28.63802559414991
23,1,27.166666666666668
23,2,0
23,3,0
23,4,25.399728997289973
23,5,24.46803738317757
23,6,23.281140453376956
23,7,22.800661864901695
23,8,22.33426483233018
23,9,21.319068255687974
23,10,20.99076745527986
23,11,20.597141190198368
23,12,21.073786407766992
23,13,21.250367827366357
23,14,21.79662522202487
23,15,21.981069042316257
23,16,21.761262196387793
23,17,21.625437332784525
23,18,21.7742578644218
23,19,22.75957906098219
23,20,23.17746262935991
23,21,24.161861406170967
23,22,25.698937426210154
23,23,25.867590454195536
