day_number,hour_number,avg_speed
18,0,35.92685645240606
18,1,38.798367639467955
18,2,50.86444430881077
18,3,29.48444472418891
18,4,33.190963683260705
18,5,34.622829717910356
18,6,35.08112066318885
18,7,35.67035708520027
18,8,36.432006013051236
18,9,35.759501371857766
18,10,35.35262087509396
18,11,35.00599843353041
18,12,34.84285629476617
18,13,35.12682041256171
18,14,34.678633376146834
18,15,34.53626356574209
18,16,34.59118543779261
18,17,34.92623218834842
18,18,35.77471634874684
18,19,35.15839323874459
18,20,36.74831031405527
18,21,36.955604305653424
18,22,36.39965775728077
18,23,37.49494948180073
19,0,37.58145887232336
19,1,39.98200958098599
19,2,53.128888871934684
19,3,27.919998168945312
19,4,0
19,5,0
19,6,33.73222808751911
19,7,31.763693889995892
19,8,33.05877703687247
19,9,33.36726552994476
19,10,33.55107865013081
19,11,33.96609098283971
19,12,32.870851277288644
19,13,32.18638168282847
19,14,32.31856991346324
19,15,32.73243072593456
19,16,31.691814121820464
19,17,32.12534375728364
19,18,32.82622313971392
19,19,32.819253841720915
19,20,32.202436133986474
19,21,32.410806185430275
19,22,31.811366672701546
19,23,34.291723582928064
20,0,36.142882902813966
20,1,37.369330296874516
20,2,51.8400105563077
20,3,28.97200009624163
20,4,32.445508117423174
20,5,32.81815932755975
20,6,31.970379697712325
20,7,29.903037634300695
20,8,33.096740380282235
20,9,33.781720868859175
20,10,33.80803701984525
20,11,33.80668409654051
20,12,32.93190224542359
20,13,32.52655520671105
20,14,32.30129367674722
20,15,32.79876623462948
20,16,32.610492409770515
20,17,33.19532589833913
20,18,33.68395086468206
20,19,34.235612148281206
20,20,34.38582441116892
20,21,34.514190089358024
20,22,33.53113585620671
20,23,35.71850577964109
21,0,35.415372614248426
21,1,38.86422345362812
21,2,48.01600646972656
21,3,30.864999858248563
21,4,32.38094620886425
21,5,32.43717534061262
21,6,31.3857595432051
21,7,29.86693231149332
21,8,32.17091589195295
21,9,32.806635408613054
21,10,33.01378317773447
21,11,32.980224466743
21,12,32.17938892451845
21,13,31.895507387591355
21,14,31.766911250199605
21,15,32.80081055994693
21,16,32.24820282306689
21,17,32.84677021151499
21,18,34.09060727704861
21,19,34.48454247975122
21,20,34.62447179743631
21,21,35.29118075365442
21,22,34.72900902842714
21,23,36.00892691734952
22,0,35.46238878498905
22,1,39.99390270651841
22,2,54.23173180941878
22,3,31.430769249414777
22,4,33.96796397099299
22,5,34.15204164513115
22,6,33.699094181237875
22,7,32.41707342522908
22,8,34.2435961692864
22,9,33.401116771498494
22,10,32.763978149055454
22,11,32.03502567377583
22,12,31.418639796267506
22,13,32.05132135834234
22,14,32.514939275545316
22,15,33.460066510108554
22,16,32.941946154417955
22,17,33.13289006161098
22,18,34.17624440763212
22,19,34.76788694110555
22,20,34.95657113103968
22,21,35.445622114448405
22,22,34.5276762426716
22,23,36.52368442484737
23,0,35.51362632020862
23,1,40.88009355170875
23,2,60.30222998725044
23,3,32.51745769785622
23,4,34.566885188551844
23,5,35.25298230922795
23,6,34.809610402666465
23,7,35.036591843541345
23,8,35.49558985821275
23,9,34.153779935709466
23,10,33.90614587410809
23,11,33.70822270083667
23,12,33.587579214579456
23,13,33.57517483231347
23,14,33.78366671185258
23,15,34.85062814966412
23,16,34.473887800846356
23,17,34.23200390569305
23,18,34.802608394551605
23,19,35.14130895044167
23,20,34.95573671493075
23,21,35.80323634291525
23,22,34.82343365953972
23,23,36.70626226031716
