day_number,hour_number,number_of_vehicles
18,2,0
18,17,2
18,18,2
18,23,0
18,5,0
18,11,2
18,10,2
18,7,2
18,0,0
18,9,2
18,6,2
18,16,2
18,15,2
18,12,2
18,1,0
18,22,0
18,21,1
18,8,1
18,14,2
18,19,2
18,13,2
18,4,0
18,20,1
18,3,0
19,4,0
19,20,1
19,6,0
19,7,0
19,18,2
19,19,2
19,10,2
19,16,2
19,17,2
19,0,0
19,21,1
19,12,2
19,13,2
19,14,2
19,11,2
19,3,0
19,1,0
19,23,0
19,2,0
19,22,1
19,5,0
19,9,2
19,8,2
19,15,2
20,10,2
20,5,1
20,8,2
20,9,2
20,7,1
20,21,1
20,16,2
20,18,2
20,2,0
20,22,0
20,1,0
20,13,2
20,23,0
20,17,2
20,20,2
20,14,2
20,3,0
20,4,0
20,6,2
20,15,2
20,11,2
20,12,2
20,19,2
20,0,0
21,7,2
21,0,0
21,3,0
21,9,2
21,1,0
21,18,2
21,2,0
21,6,1
21,22,1
21,4,0
21,23,0
21,19,2
21,10,2
21,21,1
21,15,2
21,20,1
21,8,1
21,11,2
21,5,2
21,16,2
21,17,2
21,12,2
21,13,2
21,14,2
22,14,2
22,1,0
22,8,2
22,23,0
22,2,0
22,9,2
22,17,2
22,20,2
22,18,2
22,3,0
22,13,2
22,19,2
22,4,0
22,21,1
22,22,1
22,16,2
22,11,2
22,15,2
22,7,2
22,6,2
22,5,1
22,10,2
22,0,0
22,12,2
23,22,0
23,3,0
23,8,2
23,15,2
23,16,2
23,23,0
23,2,0
23,19,2
23,4,0
23,9,2
23,12,2
23,10,2
23,21,1
23,14,2
23,7,2
23,5,2
23,17,2
23,18,2
23,20,2
23,6,2
23,0,0
23,1,0
23,11,2
23,13,2
