day_number,hour_number,number_of_vehicles
18,2,0
18,18,440
18,23,297
18,22,333
18,13,432
18,21,392
18,10,402
18,11,418
18,19,441
18,16,447
18,9,379
18,7,337
18,4,176
18,8,358
18,14,442
18,0,199
18,15,442
18,1,2
18,12,424
18,20,431
18,17,444
18,5,289
18,3,0
18,6,320
19,11,570
19,4,0
19,20,584
19,13,691
19,23,298
19,21,416
19,19,784
19,8,986
19,0,198
19,10,619
19,16,960
19,15,948
19,22,345
19,3,0
19,1,2
19,12,570
19,6,112
19,7,993
19,2,0
19,5,0
19,17,954
19,9,829
19,18,934
19,14,843
20,9,824
20,10,622
20,14,844
20,21,416
20,7,1002
20,18,936
20,22,340
20,6,935
20,20,586
20,1,2
20,15,946
20,2,0
20,23,298
20,13,690
20,16,962
20,11,565
20,17,962
20,3,0
20,19,779
20,4,244
20,0,202
20,8,986
20,5,585
20,12,572
21,23,297
21,22,335
21,1,2
21,9,827
21,18,931
21,8,975
21,3,1
21,7,998
21,14,839
21,2,0
21,4,240
21,19,772
21,11,565
21,15,938
21,12,573
21,17,951
21,10,620
21,20,577
21,6,928
21,21,411
21,16,953
21,0,201
21,5,577
21,13,685
22,10,617
22,2,0
22,3,1
22,5,578
22,22,341
22,8,983
22,13,686
22,9,819
22,14,842
22,4,241
22,17,960
22,21,416
22,20,584
22,0,200
22,23,299
22,15,949
22,7,1007
22,1,2
22,6,935
22,16,962
22,19,783
22,18,935
22,11,566
22,12,574
23,9,817
23,5,581
23,21,407
23,6,922
23,22,337
23,10,620
23,3,0
23,12,575
23,15,947
23,8,983
23,2,0
23,7,991
23,0,205
23,4,246
23,17,956
23,16,962
23,13,689
23,18,930
23,11,566
23,23,296
23,14,843
23,19,771
23,20,581
23,1,3
