day_number,hour_number,number_of_vehicles
18,17,313
18,4,58
18,12,291
18,13,298
18,3,2
18,2,2
18,14,290
18,15,310
18,1,11
18,7,250
18,6,195
18,23,108
18,10,275
18,20,225
18,5,144
18,16,313
18,8,275
18,0,72
18,19,283
18,21,174
18,11,281
18,9,280
18,18,301
18,22,139
19,2,2
19,11,635
19,20,399
19,4,0
19,19,629
19,0,70
19,13,972
19,18,840
19,3,1
19,15,1152
19,21,289
19,16,1114
19,12,784
19,9,683
19,22,234
19,1,11
19,7,1102
19,14,1099
19,6,1046
19,10,629
19,5,0
19,17,1020
19,8,811
19,23,180
20,1,13
20,9,682
20,21,295
20,20,393
20,4,524
20,6,1178
20,14,1104
20,11,634
20,23,182
20,8,857
20,0,78
20,7,1174
20,22,238
20,19,619
20,17,1010
20,10,644
20,13,980
20,16,1119
20,3,25
20,18,825
20,12,786
20,5,938
20,15,1152
20,2,2
21,14,1102
21,13,974
21,1,10
21,3,22
21,18,827
21,9,676
21,0,78
21,23,190
21,12,780
21,21,292
21,2,2
21,4,523
21,19,621
21,10,627
21,16,1113
21,22,243
21,7,1164
21,17,1002
21,20,400
21,5,933
21,11,634
21,15,1155
21,8,840
21,6,1154
22,15,1157
22,6,1188
22,16,1128
22,19,616
22,4,551
22,21,293
22,9,677
22,23,187
22,17,1021
22,13,982
22,3,25
22,1,13
22,20,392
22,22,243
22,5,950
22,11,644
22,18,824
22,12,793
22,14,1107
22,7,1197
22,8,838
22,2,2
22,0,83
22,10,639
23,19,600
23,17,988
23,6,1127
23,12,762
23,16,1081
23,20,392
23,21,293
23,23,185
23,3,23
23,1,11
23,5,917
23,11,628
23,13,927
23,0,80
23,18,812
23,9,641
23,4,518
23,15,1116
23,2,2
23,10,617
23,8,785
23,7,1107
23,14,1064
23,22,242
