day_number,hour_number,number_of_vehicles
18,0,42
18,3,5
18,5,109
18,11,164
18,17,182
18,2,2
18,15,179
18,1,13
18,13,168
18,9,175
18,19,171
18,4,56
18,18,181
18,12,168
18,10,174
18,14,175
18,22,126
18,16,183
18,23,95
18,21,148
18,6,152
18,8,175
18,20,165
18,7,173
19,4,0
19,14,233
19,1,13
19,21,154
19,11,170
19,15,246
19,3,1
19,0,43
19,9,191
19,22,141
19,17,262
19,10,182
19,2,1
19,16,257
19,7,168
19,12,177
19,6,183
19,13,205
19,18,249
19,23,100
19,19,222
19,8,207
19,20,196
19,5,0
20,19,219
20,7,270
20,23,102
20,14,233
20,17,257
20,4,146
20,8,221
20,21,153
20,18,251
20,3,21
20,20,198
20,2,0
20,6,282
20,0,43
20,10,175
20,16,260
20,9,185
20,15,245
20,11,161
20,5,247
20,22,137
20,1,12
20,12,175
20,13,209
21,12,176
21,13,210
21,10,177
21,1,12
21,8,226
21,5,248
21,21,157
21,17,259
21,2,0
21,9,184
21,23,103
21,11,165
21,19,221
21,20,196
21,0,42
21,15,246
21,22,139
21,6,288
21,4,149
21,7,279
21,16,264
21,18,250
21,3,21
21,14,235
22,3,21
22,13,206
22,23,104
22,12,174
22,9,181
22,5,248
22,16,26
22,19,166
22,20,194
22,18,26
22,7,275
22,8,222
22,1,12
22,6,285
22,22,137
22,17,27
22,11,163
22,4,149
22,2,1
22,14,188
22,21,159
22,0,40
22,10,172
22,15,21
23,0,43
23,18,251
23,8,220
23,15,249
23,20,205
23,9,185
23,2,0
23,17,264
23,10,175
23,23,105
23,12,20
23,22,140
23,1,13
23,3,21
23,19,220
23,14,166
23,4,149
23,13,21
23,11,146
23,6,285
23,7,274
23,16,262
23,5,251
23,21,159
