day_number,hour_number,number_of_vehicles
18,14,230
18,3,58
18,9,206
18,16,231
18,12,231
18,7,165
18,13,231
18,19,235
18,10,228
18,2,59
18,15,231
18,0,145
18,22,228
18,21,236
18,5,168
18,1,62
18,18,230
18,6,151
18,4,141
18,20,242
18,17,230
18,8,179
18,23,193
18,11,231
19,20,286
19,4,0
19,6,0
19,10,339
19,3,50
19,17,434
19,11,329
19,0,143
19,22,223
19,21,243
19,9,406
19,2,59
19,8,431
19,23,196
19,1,62
19,14,364
19,5,0
19,13,331
19,15,429
19,19,366
19,12,329
19,7,431
19,16,434
19,18,431
20,20,288
20,4,146
20,23,195
20,9,404
20,16,434
20,15,430
20,11,328
20,13,330
20,22,221
20,8,433
20,17,435
20,14,365
20,5,259
20,0,149
20,3,58
20,1,63
20,18,434
20,10,335
20,2,58
20,7,433
20,12,328
20,19,375
20,6,396
20,21,243
21,13,330
21,12,328
21,23,195
21,0,146
21,9,405
21,2,58
21,15,431
21,14,364
21,6,396
21,10,336
21,22,221
21,17,436
21,5,259
21,4,146
21,18,433
21,20,286
21,7,433
21,16,433
21,11,329
21,21,242
21,3,58
21,19,363
21,1,61
21,8,434
22,9,405
22,11,328
22,6,393
22,1,63
22,2,58
22,19,362
22,21,242
22,23,194
22,4,145
22,8,433
22,16,435
22,22,221
22,14,364
22,7,431
22,13,330
22,12,328
22,18,428
22,3,58
22,10,334
22,0,147
22,20,286
22,17,434
22,15,430
22,5,257
23,21,243
23,2,58
23,18,429
23,16,434
23,3,58
23,1,63
23,7,434
23,5,255
23,13,330
23,15,430
23,11,329
23,0,147
23,6,394
23,17,434
23,4,144
23,19,362
23,14,365
23,12,329
23,20,288
23,9,403
23,22,223
23,23,196
23,8,431
23,10,336
